OpenJDK 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended
[Log4jPatcher] [INFO] Transforming org/apache/logging/log4j/core/pattern/MessagePatternConverter
[Log4jPatcher] [WARN]  Unable to find noLookups:Z field in org/apache/logging/log4j/core/pattern/MessagePatternConverter
[Log4jPatcher] [INFO] Transforming org/apache/logging/log4j/core/lookup/JndiLookup
[22:50:18.299] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher running: args [--username, CodeMePanda, --version, neoforge-21.1.132, --gameDir, E:\FTB Instances\create your mekanism, --assetsDir, C:\Users\dkpan\AppData\Local\.ftba\bin\assets, --assetIndex, 17, --uuid, 131346b4-84bc-4424-a27c-72a7ca2d2ca3, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, release, --width, 1600, --height, 900, --fml.neoForgeVersion, 21.1.132, --fml.fmlVersion, 4.0.38, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient] 
[22:50:18.301] [main/INFO] [Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.3+9-LTS 
[22:50:18.303] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher 11.0.4+main.d2e20e43 starting: java version 21.0.3 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0 
[22:50:18.370] [main/WARN] [loading.FMLConfig/CORE]: Configuration file E:\FTB Instances\create your mekanism\config\fml.toml is not correct. Correcting 
[22:50:18.665] [main/INFO] [loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow 
[22:50:18.759] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6 
[22:50:20.266] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6 
[22:50:20.388] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/dkpan/AppData/Local/.ftba/bin/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23128!/ Service=ModLauncher Env=CLIENT 
[22:50:20.395] [main/WARN] [loading.FMLConfig/CORE]: Configuration file E:\FTB Instances\create your mekanism\config\fml.toml is not correct. Correcting 
[22:50:20.572] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: Intel(R) Arc(TM) B580 Graphics GL version 4.6.0 - Build 32.0.101.6257, Intel 
[22:50:20.602] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.132:client] 
[22:50:20.617] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.132-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\dkpan\AppData\Local\.ftba\bin\libraries\net\neoforged\neoforge\21.1.132\neoforge-21.1.132-universal.jar]], reader: mod manifest] 
[22:50:20.625] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "actuallyadditions-1.3.15+mc1.21.1.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.629] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "addonslib-neoforge-1.21.1-1.2.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.632] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ae2wtlib-19.2.1.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.635] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "amendments-1.21-1.2.24-neoforge.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.637] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicAttributes-1.21.1-2.6.2.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.640] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicEnchanting-1.21.1-1.3.2.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.643] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicSpawners-1.21.1-1.2.1.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
[22:50:20.649] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.21-3.0.5.jar" [locator: {mods folder locator at E:\FTB Instances\create your mekanism\mods}, reader: mod manifest] 
